,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Pulp mills,"3,295","3,145","3,116","3,691","3,238","3,535","3,774","4,022","4,020","4,260","5,077","5,412","4,537","4,882","5,837","5,999","6,209","6,379","6,202","5,778","6,149","6,150","6,244","5,375","5,573"
Paper mills,"48,237","47,572","48,851","50,392","46,405","45,609","44,316","46,194","50,299","51,819","50,142","52,964","47,113","47,556","48,399","46,935","47,559","46,498","44,437","40,204","39,832","38,944","40,018","34,801","35,714"
Paperboard mills,"20,434","21,239","21,654","23,699","22,290","21,302","20,256","21,167","20,952","23,478","25,371","25,222","23,096","27,234","28,267","28,352","29,385","30,022","29,952","29,406","31,450","33,110","31,260","28,411","29,408"
Paperboard container manufacturing,"39,255","42,412","43,265","46,875","45,051","42,739","42,364","43,633","45,000","47,274","49,513","50,445","46,431","49,211","51,483","52,774","56,778","59,084","59,159","60,076","63,502","65,816","65,596","66,142","70,770"
Paper Bag and Coated and Treated Paper Manufacturing,"18,998","18,859","18,893","19,047","18,366","17,956","17,800","18,165","19,386","19,678","21,262","21,145","18,513","20,189","20,158","21,060","20,507","20,433","20,873","20,471","20,375","22,437","22,437","20,870","24,415"
Stationery product manufacturing,"7,505","7,568","7,600","7,869","7,819","7,581","7,275","7,304","7,621","8,094","7,832","7,578","6,557","6,149","6,386","6,776","6,716","6,343","6,152","5,580","5,427","5,654","5,927","4,705","5,203"
Sanitary paper product manufacturing,"7,855","8,457","7,766","7,420","7,246","9,434","8,744","7,971","8,050","8,206","10,278","10,350","10,287","9,938","10,816","12,023","11,476","11,378","11,383","11,183","10,939","11,743","13,272","12,763","14,979"
All other converted paper product manufacturing,"3,665","3,924","4,456","4,681","4,556","4,310","4,207","4,515","4,740","4,734","4,749","4,255","4,000","4,247","4,237","5,054","5,185","4,479","4,732","4,318","4,644","5,087","5,529","5,127","5,741"
Printing,"91,301","93,718","96,712","100,124","97,643","93,968","90,105","90,959","93,551","95,471","97,936","93,729","79,574","79,425","79,831","79,205","79,262","78,437","78,433","81,982","79,643","81,342","80,057","73,445","75,634"
Support activities for printing,"7,055","7,327","7,131","7,067","6,456","5,753","5,338","5,329","5,410","5,276","5,578","5,436","4,471","4,372","4,412","3,890","4,068","3,967","3,763","3,702","3,468","3,296","3,205","2,991","3,101"
Petroleum refineries,"156,945","116,728","141,944","213,052","198,234","192,545","222,580","299,551","431,336","501,271","571,530","696,818","448,274","569,435","772,543","784,611","787,330","722,494","457,760","390,657","492,411","617,781","547,811","309,083","557,813"
Asphalt paving mixture and block manufacturing,"5,983","6,423","6,003","6,601","6,649","7,549","7,934","8,158","8,628","11,990","12,184","12,653","11,427","12,516","12,153","13,281","12,743","13,055","13,419","12,460","13,174","14,026","14,063","13,777","13,490"
Asphalt shingle and coating materials manufacturing,"5,032","5,288","5,173","5,566","5,326","5,935","6,604","7,711","9,023","9,171","8,371","8,961","9,038","9,440","10,247","10,634","10,374","9,397","9,115","9,717","10,650","10,703","11,433","12,262","12,193"
Other petroleum and coal products manufacturing,"7,763","8,150","7,367","7,792","7,847","8,210","8,856","9,540","13,102","14,444","14,328","15,137","13,630","16,332","22,005","24,964","23,309","22,151","20,551","20,131","20,040","23,006","22,944","20,137","24,410"
Petrochemical manufacturing,"19,014","12,923","19,630","22,120","14,868","19,590","25,189","41,253","52,979","64,621","76,490","76,937","50,794","75,548","84,423","81,124","80,539","71,645","49,895","50,970","53,762","58,320","49,149","37,256","45,609"
Industrial gas manufacturing,"5,571","5,956","5,441","5,119","5,281","6,090","6,842","7,234","7,774","8,550","9,298","10,113","7,311","7,018","6,780","6,959","7,496","7,477","7,020","9,120","9,126","8,515","9,740","10,127","11,178"
Synthetic dye and pigment manufacturing,"6,550","6,511","6,230","6,420","5,872","6,454","6,409","6,413","6,826","7,080","8,121","7,782","6,158","7,259","7,737","9,225","9,066","7,512","6,964","6,480","6,970","6,210","5,727","5,267","5,806"
Other Basic Inorganic Chemical Manufacturing,"20,960","26,971","21,657","20,519","20,936","20,010","20,113","21,205","24,080","25,766","30,102","30,302","26,450","32,961","34,735","34,712","32,580","31,564","31,879","30,998","32,802","36,737","34,387","29,958","34,521"
Other basic organic chemical manufacturing,"60,232","54,718","54,931","55,458","54,175","56,402","60,858","69,340","76,318","86,093","98,733","109,488","77,778","102,793","131,767","140,383","143,617","138,059","117,887","109,716","114,109","120,774","108,916","94,837","103,181"
Plastics material and resin manufacturing,"45,644","45,197","46,735","51,835","45,589","47,074","50,728","59,811","73,595","75,877","84,620","82,370","61,871","80,475","84,406","91,263","95,225","97,187","85,442","83,326","88,388","95,350","83,814","75,731","83,587"
Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,"19,430","18,445","17,218","16,378","14,637","13,391","14,072","14,110","15,406","15,615","15,945","15,654","11,635","15,581","17,899","18,121","17,719","16,330","14,641","14,420","15,113","14,940","14,436","11,692","13,023"
Medicinal and botanical manufacturing,"12,480","13,870","12,783","13,557","13,042","13,535","12,241","12,027","11,224","11,293","13,948","12,210","12,902","13,285","14,631","14,745","15,609","14,330","14,749","15,373","14,028","15,381","16,552","16,995","18,484"
Pharmaceutical preparation manufacturing,"70,907","80,681","88,220","95,980","108,319","124,842","131,711","137,745","147,399","158,634","163,827","163,106","153,317","154,407","162,139","149,350","176,470","195,893","208,145","213,743","205,628","213,142","217,158","218,446","235,075"
In-vitro diagnostic substance manufacturing,"9,241","9,732","10,706","11,520","12,335","8,668","9,585","10,636","11,029","12,046","13,032","12,466","11,374","14,240","14,000","14,720","16,007","15,233","15,995","15,263","16,609","16,102","17,127","19,566","22,152"
Biological product (except diagnostic) manufacturing,"6,338","6,989","7,003","8,086","8,534","9,528","10,793","12,369","14,296","19,368","24,120","24,106","26,666","25,952","24,687","28,610","28,620","26,867","30,712","31,574","32,676","32,550","46,946","47,897","51,579"
Fertilizer manufacturing,"12,537","12,769","10,333","10,126","9,752","10,156","11,153","12,679","13,584","13,689","17,604","23,583","19,750","20,367","23,489","26,245","28,000","25,680","19,911","17,368","16,435","17,544","19,740","18,142","20,197"
Pesticide and other agricultural chemical manufacturing,"11,432","11,286","10,291","9,538","9,128","9,035","9,825","11,184","13,734","13,691","11,137","12,253","11,305","10,532","11,190","15,036","17,888","15,901","15,062","15,284","15,006","15,146","13,793","14,040","15,634"
Paint and coating manufacturing,"18,745","19,448","19,524","19,870","20,058","19,959","19,852","21,667","23,174","23,695","23,242","21,958","19,121","21,163","22,280","23,972","25,700","27,188","27,773","27,997","27,525","27,373","26,684","26,200","29,580"
Adhesive manufacturing,"7,278","7,293","7,886","8,136","8,238","7,466","7,920","8,309","9,057","9,677","10,436","10,856","9,790","10,724","11,406","12,061","12,012","12,695","12,847","14,001","14,549","15,448","15,021","13,712","15,332"
Soap and cleaning compound manufacturing,"28,474","27,339","25,757","26,732","26,153","29,386","29,061","32,902","37,318","37,929","46,435","42,693","43,665","43,415","47,100","45,336","38,794","39,509","38,120","36,683","38,006","38,382","40,764","40,689","45,813"
Toilet preparation manufacturing,"23,329","24,139","25,549","28,083","30,122","32,586","29,071","30,916","33,130","35,154","37,353","36,064","31,256","33,748","35,912","35,344","39,292","40,322","42,463","41,473","44,590","49,485","50,449","46,076","52,286"
Printing ink manufacturing,"4,123","4,449","4,823","4,861","4,806","4,442","4,200","4,587","4,909","4,854","4,852","4,629","4,164","4,767","4,964","4,899","5,220","4,957","5,006","4,673","4,273","4,768","4,577","4,232","4,667"
All other chemical product and preparation manufacturing,"35,346","33,631","35,749","40,417","34,871","32,803","32,003","32,294","34,911","36,662","39,370","39,204","35,627","41,417","42,755","40,719","40,999","42,030","40,978","39,540","41,813","42,539","40,593","37,804","39,581"
Plastics packaging materials and unlaminated film and sheet manufacturing,"24,484","25,045","26,397","27,086","26,309","28,037","28,389","28,494","31,949","34,214","33,993","34,425","29,560","33,135","35,538","39,386","41,716","41,541","40,444","38,487","39,136","40,810","39,436","39,117","41,875"
"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing","9,229","9,196","9,414","10,181","9,751","10,856","11,477","12,674","14,897","16,376","13,819","13,500","9,614","11,396","12,660","15,424","16,745","18,100","17,753","18,557","18,900","21,106","20,783","19,701","20,832"
"Laminated plastics plate, sheet (except packaging), and shape manufacturing","3,199","2,827","2,741","2,732","2,453","2,211","2,380","2,363","2,561","2,644","3,725","3,595","2,612","2,971","2,902","3,544","3,520","3,848","3,844","4,244","4,174","4,123","4,000","3,723","3,987"
Polystyrene foam product manufacturing,"4,932","5,550","5,967","6,387","6,568","6,295","6,454","7,042","7,824","8,303","7,759","7,868","7,357","7,593","8,048","8,310","8,688","8,144","8,354","8,265","9,386","9,151","9,445","8,565","9,080"
Urethane and other foam product (except polystyrene) manufacturing,"6,701","6,637","7,596","7,401","6,792","6,943","7,178","7,752","8,628","10,225","9,636","9,510","7,007","7,799","8,469","9,441","9,877","10,424","10,613","10,762","11,141","11,623","11,712","12,280","13,220"
Plastics bottle manufacturing,"6,368","6,970","7,293","8,036","8,276","8,018","8,280","8,449","9,430","10,080","11,849","11,974","10,778","10,745","11,711","12,323","12,248","12,629","11,961","11,090","11,149","11,745","12,029","12,229","13,054"
Other plastics product manufacturing,"69,425","72,527","78,034","81,646","77,385","78,844","79,476","82,292","87,816","92,020","88,246","82,495","69,162","76,335","78,790","83,582","87,938","92,870","96,787","98,289","100,202","108,004","108,783","103,705","104,942"
Tire manufacturing,"15,742","15,368","15,051","15,681","14,484","14,520","15,065","15,737","15,956","16,250","17,409","16,899","15,662","17,241","21,478","21,105","20,135","20,084","20,488","18,095","19,265","21,725","20,971","16,688","16,663"
Rubber and plastics hoses and belting manufacturing,"4,346","4,305","4,612","4,339","4,021","4,076","3,997","4,156","4,374","4,395","4,388","4,405","3,660","4,315","4,836","5,280","5,316","5,291","5,369","5,271","5,441","5,806","5,606","5,239","5,640"
Other rubber product manufacturing,"14,606","15,139","15,409","15,585","14,319","13,610","13,499","14,014","14,693","15,302","15,398","14,272","12,365","15,083","16,579","18,073","18,303","18,296","17,928","17,729","17,688","18,523","18,585","16,252","17,652"
Motor vehicle and motor vehicle parts and supplies,"42,740","46,437","52,715","56,366","55,410","61,201","59,458","64,529","67,284","74,512","73,546","73,680","60,919","80,994","93,935","107,685","112,542","122,061","124,484","128,017","131,274","142,705","146,124","127,463","144,311"
Professional and commercial equipment and supplies,"81,585","89,139","96,581","97,323","94,274","95,763","100,520","110,484","122,275","131,625","141,004","157,825","149,420","175,656","190,543","199,955","205,105","211,609","219,053","223,349","235,640","245,153","250,640","243,187","275,767"
Household appliances and electrical and electronic goods,"60,105","63,090","71,395","83,088","73,869","74,762","74,783","84,496","87,187","101,446","108,661","103,234","93,483","113,876","128,718","145,128","153,919","162,748","171,121","170,012","173,106","185,268","185,183","184,976","221,872"
"Machinery, equipment, and supplies","75,290","82,827","84,501","86,808","79,848","79,171","83,598","94,400","104,102","108,967","114,177","123,485","97,336","120,722","144,623","167,153","171,672","183,144","179,070","175,590","196,232","214,735","207,820","197,755","231,132"
Other durable goods merchant wholesalers,"113,411","113,166","121,695","131,141","124,017","133,613","139,726","166,073","179,854","199,347","206,881","204,369","149,422","185,732","217,308","231,127","232,957","247,169","242,634","249,839","276,023","299,950","298,687","293,384","377,771"
Drugs and druggists' sundries,"27,766","31,897","38,184","42,297","52,351","62,692","64,349","69,573","84,309","88,278","88,549","93,121","97,440","109,148","118,022","130,983","140,679","155,466","176,440","179,938","185,162","190,077","200,403","204,546","223,474"
Grocery and related product wholesalers,"68,908","68,292","72,596","75,100","77,085","79,948","92,048","86,197","90,373","93,960","104,258","105,692","105,301","112,409","115,418","129,164","136,518","138,818","148,392","149,667","158,970","159,953","169,818","164,223","186,814"
Petroleum and petroleum products,"85,173","84,324","87,061","93,470","91,483","88,084","96,349","106,200","116,792","127,378","132,549","142,876","120,028","126,214","143,862","156,907","163,234","162,405","146,367","140,827","151,543","164,269","162,693","144,835","192,315"
Other nondurable goods merchant wholesalers,"144,369","147,243","154,448","163,922","171,596","174,486","173,768","186,361","197,054","207,915","232,303","241,356","230,567","252,928","273,615","290,963","313,765","322,846","322,061","318,326","331,037","334,787","342,090","330,871","390,379"
Wholesale electronic markets and agents and brokers,"28,190","26,730","27,881","29,859","19,768","22,219","23,164","27,717","33,169","36,720","40,132","52,244","27,755","52,917","72,852","62,410","68,936","75,503","83,011","79,126","83,395","80,099","85,450","75,118","92,952"
Customs duties,"19,617","19,586","19,182","21,123","20,636","19,938","21,458","23,283","25,335","26,687","28,793","29,243","23,081","28,603","31,891","33,503","35,468","37,363","38,123","37,534","38,513","53,284","77,752","68,627","89,101"
Motor vehicle and parts dealers,"174,686","174,664","196,427","195,374","176,591","208,890","211,281","217,241","211,917","214,647","215,797","184,484","147,800","196,860","198,780","221,895","235,849","254,194","279,078","299,944","304,451","322,788","323,484","307,889","380,557"
Food and beverage stores,"129,441","133,477","140,404","141,466","152,601","153,932","159,015","168,239","175,213","185,029","188,189","194,115","190,728","197,147","203,793","207,675","210,668","218,441","227,964","232,520","243,193","247,451","257,873","284,117","297,386"
General merchandise stores,"116,484","123,470","131,706","136,288","139,038","139,482","157,142","172,717","181,068","186,495","198,425","200,652","207,333","215,053","212,388","210,740","216,710","222,950","230,215","230,645","234,065","245,797","245,884","269,334","290,410"
Building material and garden equipment and supplies dealers,"71,293","76,352","79,377","86,305","88,846","87,649","95,934","108,367","119,179","126,354","126,704","113,149","104,595","108,376","111,091","115,667","126,832","132,589","140,227","150,472","155,007","160,876","165,496","190,595","197,193"
Health and personal care stores,"43,422","45,428","47,243","50,539","52,562","56,100","60,889","65,581","68,071","72,660","74,985","75,877","84,717","82,273","84,882","87,850","94,493","95,697","101,522","102,032","105,350","100,452","106,708","110,462","124,423"
Gasoline stations,"53,497","53,042","54,879","60,032","63,041","58,398","65,652","72,878","79,880","82,607","82,899","89,281","70,530","75,521","81,762","84,141","88,308","91,847","92,474","97,013","105,072","114,011","119,019","114,295","151,542"
Clothing and clothing accessories stores,"69,117","74,967","80,614","84,710","81,759","86,751","92,741","101,067","106,476","114,439","114,996","107,947","105,325","112,252","117,965","126,432","131,055","132,980","137,915","139,580","140,468","144,449","143,408","99,997","146,107"
Nonstore retailers,"61,144","64,436","69,433","81,190","81,467","88,537","95,477","102,930","110,122","124,156","133,416","131,529","130,224","140,248","151,374","166,990","184,353","204,413","229,646","252,284","280,115","319,546","343,715","442,994","516,691"
Furniture and home furnishings stores,"37,145","39,667","43,226","47,235","47,112","49,407","51,097","56,499","57,940","59,831","58,908","50,665","44,697","46,182","46,478","49,234","52,345","54,273","57,722","62,005","62,419","65,623","67,104","60,132","75,259"
Electronics and appliance stores,"29,507","31,037","32,693","34,846","29,306","33,331","34,705","37,649","39,491","40,505","41,440","37,052","33,687","33,989","31,844","35,084","36,389","36,551","35,581","33,849","32,432","33,035","32,868","25,343","26,507"
"Sporting goods, hobby, book, and music stores","26,947","27,900","28,867","30,392","30,918","31,662","32,137","34,417","35,429","36,945","37,723","36,381","35,734","37,027","38,478","39,440","41,318","42,231","43,933","42,893","43,233","41,833","42,257","47,544","61,140"
Miscellaneous store retailers,"44,599","47,773","48,827","51,662","49,022","51,163","51,936","52,966","54,929","58,413","60,481","56,103","52,345","54,729","57,095","58,361","61,700","64,788","68,922","69,485","71,746","75,030","77,540","76,267","99,143"
Air transportation,"114,332","115,629","120,543","133,956","118,292","111,351","121,989","132,136","141,797","152,088","160,672","170,930","146,637","163,474","194,219","195,394","201,273","211,236","211,288","210,211","222,740","240,076","258,574","114,987","187,990"
Rail transportation,"38,152","38,138","38,690","39,260","39,849","40,488","41,448","45,679","51,528","58,115","60,665","68,392","54,710","66,432","75,816","79,137","82,412","88,647","82,025","75,106","78,784","85,636","85,413","74,529","84,361"
Water transportation,"24,757","24,789","25,863","27,336","26,985","25,962","30,155","35,338","37,984","42,416","47,592","51,378","43,314","47,456","49,526","50,616","50,646","54,162","51,054","49,734","53,294","57,925","58,944","38,611","44,609"
Truck transportation,"162,011","174,069","185,753","198,502","199,336","203,133","208,887","231,010","255,943","272,753","279,027","283,670","231,357","251,530","278,367","297,770","307,384","333,496","332,550","331,371","356,935","391,313","399,230","392,456","476,030"
Transit and ground passenger transportation,"24,274","26,487","26,348","26,050","26,871","27,447","28,073","33,374","37,080","42,409","44,961","45,094","44,933","45,138","49,239","50,998","55,597","61,828","65,769","67,526","76,159","90,282","91,579","58,462","69,949"
Pipeline transportation,"24,251","24,129","24,133","23,217","22,700","22,150","22,355","23,037","22,829","24,244","25,741","31,245","27,305","31,190","34,988","36,441","38,768","41,797","43,699","44,488","47,146","54,131","59,631","56,294","63,182"
Scenic and sightseeing transportation and support activities for transportation,"43,377","47,987","53,046","57,846","60,684","63,558","64,905","72,200","81,075","89,117","94,730","100,208","87,433","96,871","106,312","113,157","119,418","129,710","137,453","138,772","140,880","150,939","155,724","155,088","207,458"
Couriers and messengers,"41,865","47,502","53,066","60,236","60,864","61,685","65,144","69,887","71,266","78,130","83,754","77,575","67,501","68,801","72,741","74,089","75,515","78,472","80,374","84,189","90,244","98,278","101,417","115,623","136,931"
Warehousing and storage,"26,342","28,633","31,094","33,819","36,334","39,693","45,257","49,688","53,168","61,495","69,036","76,898","78,611","88,469","97,611","108,889","112,877","116,224","120,074","129,421","138,749","145,497","150,837","154,062","185,058"
Newspaper publishers,"42,074","43,959","47,278","50,582","46,657","47,364","48,342","49,358","50,497","50,019","48,646","44,011","36,125","33,983","31,954","30,399","29,133","28,681","27,110","25,825","26,269","25,795","23,992","22,382","23,666"
Periodical Publishers,"31,249","35,641","38,790","41,458","41,392","41,616","41,101","42,890","44,321","46,324","47,586","44,195","36,658","34,189","32,394","30,231","30,178","30,380","29,340","28,723","28,585","27,547","27,957","25,362","26,567"
Book publishers,"30,215","32,171","34,553","36,674","35,276","36,082","35,394","36,689","36,758","36,874","39,350","39,191","37,807","40,188","39,753","36,119","36,801","37,208","38,375","37,850","39,102","37,952","36,110","34,835","39,706"
"Directory, mailing list, and other publishers","20,341","21,396","24,177","25,778","25,197","26,858","26,614","26,139","26,453","26,655","26,760","25,557","22,253","18,606","17,642","16,261","14,200","14,490","14,438","13,454","12,167","12,084","10,897","10,513","11,940"
Software publishers,"66,889","80,943","93,745","104,926","113,395","112,720","110,276","124,620","134,062","144,602","148,688","159,967","155,481","162,247","176,359","183,231","198,491","210,647","212,383","240,694","263,460","286,467","309,695","336,627","396,282"
Motion picture and video industries,"69,745","75,824","81,321","90,487","92,008","99,162","107,552","107,369","110,673","112,795","116,060","111,075","104,948","113,004","113,016","117,059","120,795","121,700","126,697","132,342","131,608","141,836","144,270","120,843","140,155"
Sound recording industries,"19,754","21,029","23,381","24,807","29,974","23,424","23,042","22,023","22,767","23,091","20,997","20,007","18,164","16,785","15,315","14,638","14,399","15,123","16,643","17,273","18,659","20,402","22,478","23,202","28,066"
Radio and television broadcasting,"44,000","47,131","53,999","59,690","55,820","57,914","57,777","61,110","62,809","66,981","64,434","65,440","59,517","66,759","67,782","75,079","75,342","81,375","83,920","93,338","94,129","101,328","103,819","105,353","114,011"
Cable and other subscription programming,"17,407","20,506","24,585","28,879","30,893","34,342","38,819","42,812","48,985","53,157","57,478","61,953","63,883","68,516","74,308","78,787","84,222","89,321","97,373","102,411","106,957","110,829","104,591","105,232","114,968"
Wired telecommunications carriers,"283,261","312,286","346,531","379,984","379,071","355,703","337,077","327,743","326,378","325,753","327,118","326,226","316,615","314,728","316,406","310,725","313,877","322,187","334,092","354,994","345,137","341,459","343,748","336,288","338,986"
Wireless telecommunications carriers (except satellite),"42,546","47,874","58,660","69,453","89,829","105,946","116,813","130,630","144,215","158,325","171,293","182,801","188,589","200,524","216,740","230,480","238,188","256,910","261,627","265,208","263,646","281,436","287,386","290,289","311,721"
"Satellite, telecommunications resellers, and all other telecommunications","16,930","19,058","22,332","25,084","25,605","22,806","23,628","23,609","27,220","30,338","33,863","36,342","36,266","36,811","34,419","38,044","40,684","43,205","45,066","46,133","47,267","47,451","48,815","49,581","52,947"
"Data processing, hosting, and related services","37,239","39,908","50,301","52,200","57,939","64,389","63,216","65,660","68,537","75,499","79,031","88,711","88,701","97,220","108,631","121,908","131,412","137,835","148,620","157,556","178,899","203,008","225,978","242,991","289,115"
Internet publishing and broadcasting and Web search portals,"4,913","5,862","7,353","10,270","9,256","9,914","12,350","15,868","19,522","24,770","32,372","42,316","47,767","58,399","72,784","92,212","101,940","115,210","132,937","157,906","178,999","208,684","236,921","261,190","349,493"
"News syndicates, libraries, archives and all other information services","4,035","4,795","6,327","8,251","6,923","6,870","6,986","8,073","8,606","8,674","7,072","7,159","6,885","6,912","7,235","7,370","7,795","8,203","9,245","9,549","9,921","11,175","12,097","12,667","15,799"
Nondepository credit intermediation and related activities,"148,166","155,059","174,861","195,190","213,262","214,869","216,299","227,054","236,227","242,189","241,242","265,969","262,304","257,108","265,641","300,206","308,881","320,002","296,293","299,786","300,009","298,258","296,350","295,516","295,156"
Monetary authorities and depository credit intermediation,"245,649","274,875","302,529","332,792","334,766","367,047","398,005","404,646","438,733","462,250","476,181","435,030","437,875","434,817","427,434","461,454","477,406","499,106","533,926","577,432","642,460","712,336","731,351","736,370","777,973"
Other financial investment activities,"74,533","94,401","110,167","136,585","126,162","122,855","131,819","148,079","173,845","210,336","239,934","248,577","222,168","234,083","251,953","278,389","311,685","339,941","349,439","349,707","371,299","398,065","421,915","439,855","504,358"
Securities and commodity contracts intermediation and brokerage,"131,446","149,545","182,261","220,579","186,652","163,544","176,169","196,455","208,168","236,588","261,604","208,737","214,086","220,310","200,281","200,082","206,947","218,481","218,793","215,635","220,979","226,910","238,570","250,036","284,241"
Direct life insurance carriers,"55,119","55,962","57,416","65,445","62,152","58,825","60,478","72,287","79,254","84,108","87,282","86,638","78,048","78,569","82,616","82,069","82,508","86,245","88,760","75,402","92,568","95,558","92,991","91,705","99,144"
"Insurance carriers, except direct life insurance","206,517","222,112","231,016","244,291","260,400","278,305","313,012","340,046","372,849","390,159","434,808","445,691","380,856","383,293","417,956","428,144","458,416","529,033","586,733","627,708","664,686","724,082","750,299","778,320","792,102"
"Insurance agencies, brokerages, and related activities","88,326","95,749","101,763","110,585","117,054","124,883","133,437","144,086","153,628","161,765","169,699","183,575","186,465","198,272","224,870","286,132","309,806","327,574","344,723","359,612","380,428","399,229","421,209","445,626","510,268"
"Funds, trusts, and other financial vehicles","56,145","65,392","74,602","89,918","80,932","71,405","70,258","80,602","88,172","97,920","114,337","118,345","99,886","108,976","113,817","117,255","138,735","145,018","163,544","155,980","155,795","150,097","134,057","165,763","192,523"
Owner-occupied housing,"636,560","681,643","726,617","778,048","838,488","877,017","919,031","973,385","1,046,007","1,106,754","1,171,262","1,245,040","1,262,025","1,285,398","1,302,866","1,320,813","1,356,189","1,389,098","1,429,593","1,485,133","1,546,196","1,607,395","1,682,026","1,754,045","1,821,803"
Tenant-occupied housing,"221,309","229,709","241,351","250,475","265,236","271,833","274,813","291,382","308,943","322,392","334,626","348,815","354,823","365,515","383,178","405,856","425,104","445,644","466,139","485,448","502,550","524,944","547,179","569,220","586,297"
Other real estate,"398,195","415,715","442,905","495,648","519,077","583,811","647,961","757,376","889,519","900,667","885,160","813,946","756,404","803,339","823,269","888,883","963,360","1,030,702","1,122,905","1,193,736","1,228,119","1,299,670","1,451,153","1,386,453","1,560,998"
Automotive equipment rental and leasing,"31,513","34,234","37,782","40,492","39,602","39,128","39,886","43,093","45,602","48,446","49,988","51,096","47,810","48,147","51,182","53,885","55,939","59,031","61,256","64,337","66,470","70,720","76,078","65,900","84,727"
Commercial and industrial machinery and equipment rental and leasing,"32,003","37,616","40,001","43,667","42,216","39,755","39,108","41,460","46,620","53,496","56,033","57,429","51,526","52,463","56,356","61,931","66,984","73,854","77,621","76,296","77,857","85,193","90,456","79,564","89,189"
General and consumer goods rental,"20,565","23,128","24,700","25,099","24,983","24,398","25,901","27,982","28,151","30,249","31,118","30,788","27,964","27,681","26,844","26,882","26,901","28,065","29,242","29,117","28,857","31,211","32,655","30,259","37,397"
Lessors of nonfinancial intangible assets,"65,806","75,414","85,762","100,877","103,068","98,629","114,038","118,419","130,170","130,312","132,956","150,218","123,613","140,235","150,343","155,953","167,743","177,095","161,188","162,615","165,347","181,972","192,245","191,117","187,949"
Legal services,"155,643","170,184","180,905","187,739","200,687","212,020","238,963","252,041","270,158","280,968","290,423","292,145","279,853","285,994","297,749","306,975","309,179","317,819","331,383","338,068","358,680","362,785","376,221","381,925","422,801"
Custom computer programming services,"42,399","54,606","68,019","77,020","74,364","70,110","69,074","70,733","78,962","83,588","96,543","104,137","101,141","113,324","123,780","135,833","139,766","151,494","155,017","169,333","188,570","211,170","223,006","235,635","252,711"
Computer systems design services,"57,215","69,915","81,512","93,665","92,330","91,863","88,896","88,302","94,192","98,636","105,418","117,490","116,861","128,502","142,717","158,063","157,544","163,750","163,308","171,165","182,774","198,004","200,731","206,706","222,410"
"Other computer related services, including facilities management","24,261","29,067","36,656","40,000","38,541","37,768","39,755","42,549","44,680","48,229","54,979","60,307","61,659","63,202","64,434","60,305","61,475","62,584","63,364","66,646","67,293","71,032","70,848","72,912","78,175"
"Accounting, tax preparation, bookkeeping, and payroll services","72,175","80,142","87,515","96,645","101,257","102,881","105,119","108,626","115,269","121,600","132,049","141,145","141,843","141,904","149,187","162,302","168,908","179,797","193,482","196,136","204,304","211,736","224,692","229,276","254,564"
"Architectural, engineering, and related services","131,783","144,498","153,526","169,954","175,810","174,408","180,643","203,329","228,288","249,716","272,090","292,058","264,477","262,551","280,499","281,281","281,846","298,421","311,584","318,239","332,270","350,492","372,787","370,609","406,986"
Management consulting services,"67,255","76,341","83,962","91,335","98,529","104,501","104,420","113,467","127,005","134,223","145,325","156,647","150,293","166,743","183,083","199,059","209,659","224,814","232,966","245,238","252,881","266,337","280,404","284,638","336,480"
Environmental and other technical consulting services,"15,574","14,443","14,631","15,990","17,216","18,120","20,013","22,374","24,920","26,790","31,451","33,871","34,800","38,066","41,182","44,114","46,046","48,311","49,844","50,667","52,197","56,655","61,295","60,588","71,608"
Scientific research and development services,"93,320","101,121","111,451","125,151","127,456","135,105","138,477","142,241","142,909","149,782","156,939","166,994","169,005","171,707","176,769","177,254","179,985","188,413","202,087","214,796","236,756","257,764","294,805","324,784","343,260"
"Advertising, public relations, and related services","57,261","64,547","72,146","83,040","83,163","81,849","86,658","95,669","104,159","116,165","128,998","125,310","110,681","111,807","111,067","112,882","115,389","121,230","125,875","135,278","143,563","155,598","165,249","175,634","210,235"
Specialized design services,"17,876","19,382","20,418","22,152","21,508","20,420","21,493","23,328","25,249","27,267","29,881","28,877","23,901","24,077","25,722","26,794","27,615","30,654","33,044","34,005","35,383","37,096","40,094","40,646","48,160"
Photographic services,"9,617","9,966","10,151","10,695","10,873","10,474","10,740","11,007","11,270","11,531","11,843","11,967","10,841","10,619","10,587","10,861","11,313","11,946","11,848","12,074","12,547","13,619","13,864","10,934","13,346"
Veterinary services,"11,991","12,859","13,680","14,717","15,301","16,127","17,221","18,718","20,438","22,216","24,533","25,722","25,847","26,795","27,655","29,408","30,993","33,939","36,577","39,747","43,207","45,048","48,857","49,586","52,053"
"All other miscellaneous professional, scientific, and technical services","43,453","42,531","43,072","45,775","46,414","46,941","50,132","55,185","58,676","61,315","64,034","67,599","68,373","72,670","76,370","79,908","81,002","86,559","88,795","91,499","99,776","106,699","119,103","114,990","144,478"
Management of companies and enterprises,"195,164","221,660","240,135","260,188","259,557","261,756","280,575","320,801","354,808","383,657","433,424","432,647","400,165","422,154","446,492","478,778","498,995","531,325","561,730","566,833","602,634","635,694","671,296","678,177","733,132"
